ParName   Value   Gradient
SR_parm[1]      10.0789 1.84148e-005
SR_parm[2]     0.632996 9.90655e-007
SR_parm[3]     0.211336 -1.47887e-007
recdev1(1994)    -0.283956 -3.13215e-007
recdev1(1995)    -0.119972 -3.14471e-007
recdev1(1996)   -0.0749398  4.3863e-007
recdev1(1997)   0.00453091 2.35449e-007
recdev1(1998)    -0.218465 -1.35527e-007
recdev1(1999)      0.29497 -1.13856e-006
recdev1(2000)     0.184346   4.493e-007
recdev1(2001)     0.214774  1.6387e-006
recdev1(2002)     0.124649 3.74388e-006
recdev1(2003)     0.010302 5.19227e-007
recdev1(2004)    -0.270546 -2.24649e-007
recdev1(2005)    -0.114208 -8.91061e-007
recdev1(2006)     0.323905 -1.14458e-007
recdev1(2007)   0.00716473 -3.63912e-007
recdev1(2008)    -0.109978 -5.96236e-007
recdev1(2009)    -0.271339 -1.06113e-006
recdev1(2010)    0.0731255 1.54734e-007
recdev1(2011)     0.230228 4.47988e-007
recdev1(2012)     0.113825 -4.92031e-008
recdev1(2013)    0.0440114 -5.47582e-007
recdev1(2014)    -0.162428 -6.42331e-007
F_rate[1] 3.97253e-005 1.62138e-005
F_rate[2]  7.9303e-005 5.28719e-005
F_rate[3]  0.000120167 -3.29306e-005
F_rate[4]  0.000161785 -2.70544e-005
F_rate[5]  0.000205023   1.059e-005
F_rate[6]  0.000249618 5.52731e-006
F_rate[7]  0.000295467 -3.27464e-005
F_rate[8]  0.000343575 -7.31521e-006
F_rate[9]  0.000394269 4.68812e-006
F_rate[10]  0.000447588  2.0983e-005
F_rate[11]  0.000504867 -6.26936e-006
F_rate[12]  0.000564252 2.14528e-005
F_rate[13]  0.000624176 6.69252e-006
F_rate[14]  0.000681767 8.69443e-006
F_rate[15]  0.000754522 9.24744e-006
F_rate[16]  0.000758371 -1.68611e-005
F_rate[17]  0.000400587 -6.64497e-006
F_rate[18]  0.000822974 -5.31355e-006
F_rate[19]   0.00165982 -8.55695e-006
F_rate[20]   0.00214834 4.68652e-006
F_rate[21]    0.0020384 -1.2264e-005
F_rate[22]   0.00226591 3.20448e-007
F_rate[23]   0.00203043 -5.15981e-006
F_rate[24]   0.00346859 1.20387e-005
F_rate[25]   0.00333092 -7.63448e-007
F_rate[26]   0.00734332 -1.59315e-006
F_rate[27]   0.00653596 -4.6157e-006
F_rate[28]    0.0089846 2.86809e-006
F_rate[29]   0.00785152 -3.26176e-006
F_rate[30]   0.00608816 3.47399e-006
F_rate[31]   0.00452369 -1.77693e-006
F_rate[32]    0.0066663 7.78276e-006
F_rate[33]   0.00705063 2.90829e-006
F_rate[34]    0.0113537 -1.01892e-006
F_rate[35]    0.0163836 -1.61681e-006
F_rate[36]    0.0215484 8.97038e-008
F_rate[37]    0.0234394 5.08707e-007
F_rate[38]    0.0194735 -2.87431e-007
F_rate[39]    0.0192053 -1.05232e-006
F_rate[40]    0.0196758 -7.07868e-007
F_rate[41]    0.0490817 -2.34156e-007
F_rate[42]    0.0422121 2.44598e-007
F_rate[43]    0.0577171 1.38506e-007
F_rate[44]     0.087568 -1.02353e-006
F_rate[45]    0.0936795 -4.97153e-007
F_rate[46]     0.100278 -6.28461e-007
F_rate[47]    0.0846043 1.80038e-006
F_rate[48]    0.0838684 -2.18844e-006
F_rate[49]    0.0699699 -1.23165e-007
F_rate[50]    0.0844693 -1.91317e-007
F_rate[51]    0.0662573 1.86741e-006
F_rate[52]    0.0758406 -7.68941e-008
F_rate[53]    0.0867344 -9.61722e-007
F_rate[54]    0.0967866 -5.78149e-007
F_rate[55]    0.0770367 -4.84594e-007
F_rate[56]    0.0804924 1.44991e-006
F_rate[57]    0.0916692 1.74339e-006
F_rate[58]     0.102855 6.80498e-008
F_rate[59]     0.157255 -4.63672e-007
F_rate[60]     0.228826  1.1752e-006
F_rate[61]     0.107053 2.12324e-006
F_rate[62]     0.208755 4.88206e-007
F_rate[63]     0.151166  5.9427e-007
F_rate[64]    0.0799962 3.37403e-007
F_rate[65]    0.0569716 3.72708e-007
F_rate[66] 3.50211e-005 -3.30558e-005
F_rate[67] 7.01243e-005 4.06034e-005
F_rate[68]  0.000105559 4.30858e-005
F_rate[69]  0.000141823 3.84827e-005
F_rate[70]  0.000179289 8.27786e-007
F_rate[71]  0.000218028 1.27236e-005
F_rate[72]  0.000258068 -4.80829e-005
F_rate[73]  0.000299639 -2.10197e-005
F_rate[74]   0.00034302 -1.20914e-005
F_rate[75]  0.000388709 1.06488e-005
F_rate[76]  0.000437232 8.93676e-006
F_rate[77]    0.0004888 6.74692e-006
F_rate[78]  0.000542663  6.5329e-006
F_rate[79]  0.000597031 1.84742e-005
F_rate[80]   0.00063343 -7.04374e-006
F_rate[81]  0.000566166 7.83473e-006
F_rate[82]  0.000183621 -1.07354e-005
F_rate[83]  0.000440205 2.02437e-006
F_rate[84]   0.00142515 -4.05528e-006
F_rate[85]  0.000780185 -6.52225e-006
F_rate[86]    0.0012998 3.84925e-007
F_rate[87]   0.00143154 1.03422e-005
F_rate[88]   0.00140988 2.96657e-006
F_rate[89]   0.00169263 6.02641e-006
F_rate[90]    0.0020888 -6.07165e-006
F_rate[91]   0.00346835 -1.49128e-005
F_rate[92]   0.00194748 3.59779e-005
F_rate[93]   0.00637929 -2.11286e-006
F_rate[94]   0.00542741 2.75707e-006
F_rate[95]    0.0074465 -2.23608e-006
F_rate[96]   0.00509194 -3.00608e-006
F_rate[97]   0.00402787 -1.43749e-005
F_rate[98]   0.00522696 -6.2553e-006
F_rate[99]   0.00592114 3.01598e-006
F_rate[100]    0.0320442 1.52165e-006
F_rate[101]    0.0291489 1.38141e-006
F_rate[102]    0.0394931 4.27457e-007
F_rate[103]    0.0456555 -9.3109e-008
F_rate[104]    0.0490072 -7.16265e-008
F_rate[105]    0.0532229 6.35951e-007
F_rate[106]    0.0544219 6.35005e-007
F_rate[107]     0.048958 5.71436e-007
F_rate[108]    0.0687717 -1.73499e-007
F_rate[109]    0.0741215 5.76905e-007
F_rate[110]    0.0846543 6.71081e-007
F_rate[111]    0.0599309 2.62625e-007
F_rate[112]    0.0655371 8.14058e-007
F_rate[113]     0.117797  2.4899e-006
F_rate[114]     0.107342 -5.22493e-007
F_rate[115]     0.142119  5.1343e-007
F_rate[116]     0.103548 2.94968e-007
F_rate[117]     0.126321 -4.96677e-007
F_rate[118]     0.141607  1.3721e-006
F_rate[119]     0.172117 -7.35888e-007
F_rate[120]     0.161551 -3.58948e-007
F_rate[121]     0.114173 1.21109e-006
F_rate[122]    0.0787411 4.37973e-006
F_rate[123]     0.163368 -2.86038e-006
F_rate[124]     0.146491 1.04762e-006
F_rate[125]     0.154182 -5.91379e-007
F_rate[126]      0.11774 7.35215e-007
F_rate[127]     0.103464 1.11664e-006
F_rate[128]     0.125659 -1.51841e-006
F_rate[129]    0.0764127 -2.08754e-006
F_rate[130]    0.0831238 1.42297e-006
F_rate[131]  0.000160661 1.33635e-005
F_rate[132]  0.000322879 5.04936e-006
F_rate[133]  0.000489253 8.56324e-006
F_rate[134]  0.000662471 -4.93501e-006
F_rate[135]  0.000841857 -1.14518e-006
F_rate[136]    0.0010271 -2.68124e-006
F_rate[137]   0.00121965  2.3652e-006
F_rate[138]   0.00142153 -8.90355e-007
F_rate[139]   0.00163528 -1.97872e-006
F_rate[140]   0.00186415 -4.85001e-006
F_rate[141]   0.00210766 4.10949e-007
F_rate[142]   0.00236299 -3.23742e-006
F_rate[143]    0.0026136 -2.80443e-007
F_rate[144]   0.00284687 -1.63312e-006
F_rate[145]   0.00306985 -9.77035e-008
F_rate[146]   0.00330276 8.62314e-007
F_rate[147]   0.00354815 -8.03138e-007
F_rate[148]   0.00380287 -1.64998e-006
F_rate[149]   0.00406871 1.69252e-007
F_rate[150]     0.004345 4.49296e-006
F_rate[151]   0.00463922 -9.10482e-007
F_rate[152]   0.00494987 -3.21697e-006
F_rate[153]   0.00525559 -2.83537e-006
F_rate[154]   0.00554329 1.44071e-006
F_rate[155]   0.00582608 8.94435e-007
F_rate[156]   0.00611985 -1.12771e-006
F_rate[157]   0.00642115 1.56545e-006
F_rate[158]   0.00673528 -5.63297e-007
F_rate[159]   0.00707599 -5.61838e-007
F_rate[160]   0.00743385 2.73953e-007
F_rate[161]   0.00780818 -4.63379e-006
F_rate[162]   0.00824955 -1.10993e-007
F_rate[163]    0.0257425 -1.11699e-006
F_rate[164]   0.00755847 -2.90113e-006
F_rate[165]    0.0108522 -7.73143e-007
F_rate[166]     0.019375 5.15281e-007
F_rate[167]    0.0488928 4.80161e-007
F_rate[168]    0.0541977 -9.92582e-007
F_rate[169]    0.0768434 -6.42032e-007
F_rate[170]    0.0498261 5.93719e-007
F_rate[171]    0.0680752 -1.52932e-006
F_rate[172]    0.0713387 1.12981e-006
F_rate[173]    0.0927266 -7.26137e-007
F_rate[174]    0.0879686 -7.32392e-007
F_rate[175]    0.0801975 7.74518e-007
F_rate[176]     0.118773 -6.63903e-007
F_rate[177]    0.0583267 -2.9016e-007
F_rate[178]    0.0674949 -5.62445e-007
F_rate[179]    0.0352331 -7.47063e-007
F_rate[180]    0.0494559 -1.36409e-007
F_rate[181]    0.0393184 -5.54589e-007
F_rate[182]    0.0713633 1.22013e-007
F_rate[183]     0.054715 -1.48301e-006
F_rate[184]    0.0584388 1.45185e-008
F_rate[185]    0.0778642 -1.71381e-006
F_rate[186]    0.0605904 9.06112e-007
F_rate[187]    0.0542084 4.31742e-007
F_rate[188]    0.0507575 1.16415e-006
F_rate[189]    0.0517681 -3.11572e-007
F_rate[190]    0.0648831 -2.17789e-007
F_rate[191]    0.0383316 7.33997e-007
F_rate[192]     0.114344 9.49448e-008
F_rate[193]    0.0749354 2.01008e-007
F_rate[194]     0.125549 1.01328e-007
