ParName   Value   Gradient
SR_parm[1]      10.0616 1.22295e-005
SR_parm[2]     0.648959  1.7546e-006
SR_parm[3]     0.230442 -3.96371e-007
recdev1(1994)    -0.290583 -3.96705e-007
recdev1(1995)    -0.105405 -8.01414e-007
recdev1(1996)   -0.0630039 -9.46278e-007
recdev1(1997)    0.0117554 -1.2627e-006
recdev1(1998)    -0.239855 -2.07688e-007
recdev1(1999)     0.297079 1.31631e-006
recdev1(2000)     0.188218 1.73537e-006
recdev1(2001)     0.228158  8.5404e-007
recdev1(2002)     0.118445 1.00395e-006
recdev1(2003)    0.0164075  5.6728e-007
recdev1(2004)    -0.267509 -3.46558e-007
recdev1(2005)    -0.106898 1.80666e-007
recdev1(2006)     0.340377 4.76767e-007
recdev1(2007)   0.00337737 1.01019e-007
recdev1(2008)    -0.127876 -1.8875e-006
recdev1(2009)    -0.295827 -1.34167e-006
recdev1(2010)    0.0615029 -1.49213e-006
recdev1(2011)      0.25151 -2.25719e-006
recdev1(2012)     0.124871 -1.97794e-006
recdev1(2013)     0.033579 -1.1104e-006
recdev1(2014)    -0.178323 -1.08022e-006
F_rate[1] 4.04812e-005 2.12844e-005
F_rate[2] 8.08145e-005 -2.63366e-005
F_rate[3]  0.000122474 8.76832e-006
F_rate[4]  0.000164929 -1.43204e-005
F_rate[5]  0.000209062 -4.10922e-005
F_rate[6]  0.000254606  3.0764e-005
F_rate[7]   0.00030146 -5.98495e-006
F_rate[8]  0.000350654 7.71127e-006
F_rate[9]  0.000402531 1.98988e-005
F_rate[10]  0.000457143 -5.12866e-006
F_rate[11]  0.000515868 -2.08758e-006
F_rate[12]   0.00057681 -1.00164e-005
F_rate[13]  0.000638321 -6.89855e-006
F_rate[14]  0.000697387 2.29883e-006
F_rate[15]  0.000771895 -4.62133e-006
F_rate[16]  0.000775909 -7.70257e-007
F_rate[17]  0.000409896 3.31816e-007
F_rate[18]  0.000842211 4.88451e-006
F_rate[19]    0.0016989 5.45395e-007
F_rate[20]   0.00219932 -1.24081e-006
F_rate[21]   0.00208719 1.04955e-006
F_rate[22]   0.00232067 -1.99847e-006
F_rate[23]    0.0020799 2.05295e-006
F_rate[24]   0.00355351 7.50068e-007
F_rate[25]   0.00341261 -3.85969e-006
F_rate[26]   0.00752399 3.00465e-007
F_rate[27]   0.00669731 3.42912e-006
F_rate[28]   0.00920729 -2.13455e-006
F_rate[29]   0.00804732 2.49097e-007
F_rate[30]   0.00624107 -3.42777e-006
F_rate[31]    0.0046382 -4.23965e-006
F_rate[32]   0.00683645 -2.95325e-006
F_rate[33]   0.00723427 -2.09396e-006
F_rate[34]    0.0116547 -1.05716e-006
F_rate[35]    0.0168282 7.31299e-007
F_rate[36]    0.0221599 -8.16674e-007
F_rate[37]    0.0241524 -3.33178e-007
F_rate[38]    0.0201127 -8.98389e-007
F_rate[39]    0.0198802 -2.72752e-006
F_rate[40]     0.020392 -1.8839e-006
F_rate[41]     0.050897 -5.66934e-007
F_rate[42]    0.0438185 -2.31677e-007
F_rate[43]    0.0599917 -2.12459e-007
F_rate[44]    0.0911969 -4.98697e-007
F_rate[45]    0.0978193 -2.27631e-007
F_rate[46]     0.105081 -1.39086e-006
F_rate[47]    0.0887947 -7.97092e-007
F_rate[48]    0.0881417 -7.81215e-007
F_rate[49]    0.0733876 -6.39714e-007
F_rate[50]    0.0883783 -9.26411e-007
F_rate[51]    0.0692161 -3.39723e-007
F_rate[52]    0.0793454 -7.87006e-007
F_rate[53]    0.0904479 -1.3285e-006
F_rate[54]     0.100644 -9.10247e-007
F_rate[55]     0.079999 -1.12161e-006
F_rate[56]    0.0836558 -2.73834e-007
