ParName   Value   Gradient
SR_parm[1]      10.0694 -5.2278e-005
SR_parm[2]      0.65015 -2.49106e-006
SR_parm[3]      0.23473 1.89424e-007
recdev1(1994)    -0.306956 -4.53967e-007
recdev1(1995)      -0.1313 -2.14854e-007
recdev1(1996)   -0.0858481 -1.03922e-006
recdev1(1997)  -0.00078832 -5.36989e-007
recdev1(1998)    -0.246144 6.57732e-007
recdev1(1999)     0.296353 -1.39924e-006
recdev1(2000)     0.180998 -5.79572e-007
recdev1(2001)     0.212291 6.43683e-007
recdev1(2002)      0.11848 -9.99523e-007
recdev1(2003)  0.000930452 -9.81653e-008
recdev1(2004)    -0.292547 2.59251e-007
recdev1(2005)     -0.13008   5.684e-007
recdev1(2006)     0.321041 8.75023e-007
recdev1(2007)  -0.00738111 1.80971e-007
recdev1(2008)    -0.127393 2.18013e-007
recdev1(2009)    -0.293122 6.03675e-007
recdev1(2010)    0.0617197 -7.41659e-007
recdev1(2011)     0.211671 8.12161e-007
recdev1(2012)     0.148138 9.46287e-009
recdev1(2013)      0.19305 5.43336e-007
recdev1(2014)    -0.123111 6.89446e-007
F_rate[1] 4.01243e-005 1.06402e-005
F_rate[2] 8.01019e-005 4.11362e-006
F_rate[3]  0.000121389 6.09812e-006
F_rate[4]  0.000163454 -1.01023e-006
F_rate[5]   0.00020717 1.87409e-006
F_rate[6]  0.000252273 -5.24726e-006
F_rate[7]   0.00029866 -4.35006e-006
F_rate[8]  0.000347349 -3.92017e-006
F_rate[9]  0.000398676 -1.40909e-006
F_rate[10]  0.000452685 -1.89339e-006
F_rate[11]  0.000510734 -1.54067e-006
F_rate[12]  0.000570938 3.41702e-007
F_rate[13]  0.000631676 -1.74665e-006
F_rate[14]  0.000689998 -5.67709e-006
F_rate[15]  0.000763622 -3.68828e-007
F_rate[16]  0.000767504 -9.84344e-007
F_rate[17]  0.000405406 1.06763e-007
F_rate[18]  0.000832874 -1.63537e-006
F_rate[19]   0.00167981 1.43264e-007
F_rate[20]   0.00217427 -2.50989e-006
F_rate[21]   0.00206309 -3.09935e-006
F_rate[22]   0.00229348 -1.08529e-006
F_rate[23]   0.00205517 -5.3024e-007
F_rate[24]   0.00351073 -1.45354e-006
F_rate[25]   0.00337108 -1.46571e-006
F_rate[26]   0.00743136 -1.66382e-006
F_rate[27]   0.00661389 -1.34753e-006
F_rate[28]   0.00909128 -1.23304e-006
F_rate[29]   0.00794462 -1.7137e-007
F_rate[30]   0.00616035 -1.49882e-006
F_rate[31]   0.00457738 -1.73224e-006
F_rate[32]   0.00674552 -6.96101e-007
F_rate[33]   0.00713525 -3.23602e-006
F_rate[34]    0.0114908 -3.12623e-006
F_rate[35]    0.0165832 -1.0884e-007
F_rate[36]    0.0218182 -5.06709e-007
F_rate[37]    0.0237475 1.98048e-007
F_rate[38]    0.0197443 -7.09224e-007
F_rate[39]    0.0194849 -7.27714e-007
F_rate[40]     0.019965 -1.34995e-006
F_rate[41]    0.0497911 -4.38161e-007
F_rate[42]    0.0428138 -2.64164e-007
F_rate[43]    0.0585299 4.56103e-007
F_rate[44]    0.0888096 -5.64499e-007
F_rate[45]    0.0950355 4.66802e-008
F_rate[46]     0.101771 -1.69862e-007
F_rate[47]    0.0858726 5.01215e-007
F_rate[48]    0.0852971 -3.17442e-007
F_rate[49]    0.0712369 6.29695e-007
F_rate[50]     0.086021 6.98065e-007
F_rate[51]    0.0674726 -1.44904e-006
F_rate[52]    0.0773085 6.70764e-007
F_rate[53]     0.088076 -2.59302e-006
F_rate[54]     0.098075 -5.70891e-007
F_rate[55]    0.0780022 7.05877e-007
F_rate[56]       0.0815 -4.90152e-007
F_rate[57]    0.0928594 -7.98377e-007
F_rate[58]     0.104242 1.97122e-007
F_rate[59]     0.159475 -1.57393e-007
F_rate[60]     0.231385 5.16361e-007
F_rate[61]     0.108317 2.28345e-007
F_rate[62]     0.211924 5.77614e-007
F_rate[63]     0.154358 -2.51391e-008
F_rate[64]    0.0817436 -1.08557e-006
F_rate[65]    0.0580705 6.77057e-008
F_rate[66] 3.53582e-005 3.12496e-005
F_rate[67] 7.08002e-005 6.39501e-006
F_rate[68]  0.000106581 2.09366e-006
F_rate[69]   0.00014321  -3.293e-006
F_rate[70]  0.000181069 -3.67898e-007
